date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2021-08-31T00:00:00.000Z,0,77.0,68.0,62.5,59.5,58.5,57.0,56.5,55.5
2021-09-10T00:00:00.000Z,0,59.5,66.0,66.0,64.0,62.5,60.0,59.0,57.0
2021-09-20T00:00:00.000Z,0,56.5,57.0,59.5,60.0,60.0,59.0,58.0,57.0
2021-09-30T00:00:00.000Z,0,52.0,55.0,57.0,58.0,58.0,58.0,57.5,57.0
2021-10-10T00:00:00.000Z,0,62.0,58.5,57.5,58.0,58.0,57.5,57.5,56.5
2021-10-20T00:00:00.000Z,0,58.0,59.0,59.0,58.5,58.5,58.5,58.0,57.0
2021-10-31T00:00:00.000Z,0,62.0,61.0,60.0,59.5,59.5,59.0,58.5,57.5
2021-11-10T00:00:00.000Z,0,60.5,59.0,59.5,59.5,59.5,59.0,58.5,57.5
2021-11-20T00:00:00.000Z,0,61.0,59.5,59.5,59.5,59.0,58.5,58.5,57.5
2021-11-30T00:00:00.000Z,0,53.5,57.5,58.5,59.0,59.0,59.0,58.5,58.0
2021-12-10T00:00:00.000Z,0,56.5,55.5,56.0,57.0,57.5,58.0,58.0,57.5
2021-12-20T00:00:00.000Z,0,38.0,46.0,50.0,52.0,53.5,56.0,56.5,56.5
2021-12-31T00:00:00.000Z,0,52.5,48.5,48.5,49.5,51.0,54.0,55.5,56.0
