date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2021-04-30T00:00:00.000Z,0,61.0,63.0,65.5,66.0,65.5,61.0,57.5,53.5
2021-05-10T00:00:00.000Z,0,50.0,53.5,57.5,59.5,60.5,59.5,57.0,53.5
2021-05-20T00:00:00.000Z,0,70.5,67.0,64.5,64.0,63.0,61.0,58.5,54.5
2021-05-31T00:00:00.000Z,0,59.5,61.0,61.5,62.0,62.0,61.0,59.0,55.5
2021-06-10T00:00:00.000Z,0,55.5,59.0,60.0,61.0,61.0,61.0,59.0,56.0
2021-06-20T00:00:00.000Z,0,52.0,53.5,56.0,57.5,58.5,59.0,58.0,56.0
2021-06-30T00:00:00.000Z,0,44.0,46.0,49.5,51.5,53.5,56.0,56.5,54.5
2021-07-10T00:00:00.000Z,0,64.0,57.5,54.5,54.0,54.5,56.0,56.0,54.5
2021-07-20T00:00:00.000Z,0,56.0,59.5,58.5,58.0,57.0,57.0,57.0,55.5
2021-07-31T00:00:00.000Z,0,49.5,52.0,54.0,54.5,55.0,56.0,56.5,55.0
2021-08-10T00:00:00.000Z,0,51.0,51.5,52.5,53.0,53.5,55.0,55.5,55.0
2021-08-20T00:00:00.000Z,0,49.5,51.0,51.5,52.0,52.5,54.5,55.0,54.5
2021-08-31T00:00:00.000Z,0,77.0,68.0,62.5,59.5,58.5,57.0,56.5,55.5
