date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,51.0,54.5,58.0,61.0,63.0,67.5,70.5,72.5
2026-01-10T00:00:00.000Z,0,55.0,53.5,55.0,57.0,58.5,64.5,67.5,70.5
2026-01-20T00:00:00.000Z,0,45.5,48.0,50.0,52.5,54.5,60.5,64.5,68.5
2026-01-31T00:00:00.000Z,0,45.5,46.0,47.0,49.0,51.0,57.5,62.0,66.0
2026-02-10T00:00:00.000Z,0,44.0,43.5,44.5,46.0,47.5,54.0,58.5,64.0
2026-02-28T00:00:00.000Z,0,47.5,48.0,48.0,48.0,48.5,52.5,56.5,61.5
2026-03-10T00:00:00.000Z,0,38.0,40.5,43.0,44.5,45.5,49.5,54.0,60.0
2026-03-20T00:00:00.000Z,0,60.5,52.5,49.5,48.5,48.0,50.0,53.5,59.0
2026-04-20T00:00:00.000Z,0,67.0,71.0,71.5,69.5,67.5,62.0,61.0,62.5
2026-04-30T00:00:00.000Z,0,60.5,62.0,64.5,65.5,65.0,62.0,61.0,62.0
2026-02-20T00:00:00.000Z,0,51.0,50.0,48.5,48.5,49.0,53.5,58.0,63.0
2026-04-10T00:00:00.000Z,0,74.0,75.0,71.0,67.5,64.5,59.5,59.0,61.5
