date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2026-01-31T00:00:00.000Z,0,63.5,59.5,58.0,58.0,59.5,65.5,69.0,73.0
2026-02-20T00:00:00.000Z,0,61.0,60.5,60.0,60.0,60.0,63.5,67.0,70.5
2026-04-10T00:00:00.000Z,0,92.5,94.0,92.0,89.5,86.5,79.0,76.5,75.5
2026-01-10T00:00:00.000Z,0,58.5,57.0,59.0,62.0,64.5,71.5,74.5,76.5
2026-01-20T00:00:00.000Z,0,52.5,54.0,55.5,58.0,60.5,67.5,71.5,74.5
2026-02-28T00:00:00.000Z,0,71.0,68.0,65.5,64.0,63.0,64.5,67.0,70.0
2026-03-10T00:00:00.000Z,0,70.5,69.5,68.0,66.5,66.0,65.5,67.0,70.0
2026-03-20T00:00:00.000Z,0,87.0,82.0,77.5,74.5,72.5,69.0,69.5,71.5
2026-04-20T00:00:00.000Z,0,90.0,92.0,92.0,90.5,88.5,81.5,78.5,76.5
2026-04-30T00:00:00.000Z,0,76.5,79.5,83.0,84.5,84.5,81.0,78.5,77.0
2025-12-31T00:00:00.000Z,0,55.0,58.0,63.5,67.5,70.0,76.0,78.0,78.5
2026-02-10T00:00:00.000Z,0,60.0,59.5,59.5,59.0,59.5,64.0,68.0,71.5
