date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,54.5,55.5,58.0,58.0,57.5,54.5,52.0,50.0
2026-01-10T00:00:00.000Z,0,72.5,68.0,64.5,63.0,61.5,57.5,54.5,52.0
2026-01-20T00:00:00.000Z,0,63.0,63.5,63.5,63.5,62.5,58.5,56.0,53.5
2026-01-31T00:00:00.000Z,0,72.0,71.5,69.0,67.5,66.0,61.5,58.5,55.0
2026-02-10T00:00:00.000Z,0,66.5,65.5,66.5,66.5,66.0,62.5,59.5,56.0
2026-02-20T00:00:00.000Z,0,67.5,69.0,69.0,68.0,67.0,64.0,61.0,57.5
2026-02-28T00:00:00.000Z,0,76.0,69.0,68.0,67.5,67.0,64.5,62.0,58.0
2026-03-10T00:00:00.000Z,0,86.0,85.5,80.0,77.0,75.0,69.5,65.5,61.0
2026-03-20T00:00:00.000Z,0,85.5,84.0,82.5,80.5,78.5,73.0,68.5,63.5
2026-04-10T00:00:00.000Z,0,88.5,88.0,87.5,86.5,85.0,79.0,74.5,68.0
2026-04-20T00:00:00.000Z,0,94.0,92.5,91.5,90.0,88.5,82.5,77.5,70.5
2026-04-30T00:00:00.000Z,0,78.0,84.5,87.5,88.0,87.0,83.5,79.0,72.0
