date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,53.5,57.5,61.0,63.0,64.0,66.0,66.0,66.5
2026-01-10T00:00:00.000Z,0,49.0,52.0,55.0,57.5,59.5,63.0,64.0,65.0
2026-01-20T00:00:00.000Z,0,45.5,45.0,47.5,50.5,53.0,58.5,60.5,63.0
2026-01-31T00:00:00.000Z,0,47.0,44.5,45.5,47.0,49.0,55.0,58.0,61.0
2026-02-10T00:00:00.000Z,0,63.0,56.5,52.5,51.5,52.0,55.0,57.5,60.5
2026-02-20T00:00:00.000Z,0,87.0,80.0,70.5,65.5,62.5,60.5,61.0,62.0
2026-02-28T00:00:00.000Z,0,89.5,85.5,80.0,75.0,71.5,66.0,64.5,64.0
2026-03-20T00:00:00.000Z,0,85.5,83.5,83.0,81.5,79.0,72.5,70.0,67.5
2026-04-10T00:00:00.000Z,0,95.0,95.0,92.5,90.5,88.5,81.5,77.0,72.5
2026-04-20T00:00:00.000Z,0,87.0,90.5,91.5,90.5,89.5,83.0,78.5,74.0
2026-04-30T00:00:00.000Z,0,75.5,79.0,82.5,84.0,84.5,82.0,79.0,75.0
2026-03-10T00:00:00.000Z,0,84.0,85.5,83.5,80.0,77.0,70.0,67.5,66.5
