date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,55.5,58.5,62.0,64.0,65.5,69.5,71.5,73.0
2026-01-20T00:00:00.000Z,0,63.5,62.5,62.0,62.5,63.0,66.0,68.5,71.0
2026-01-31T00:00:00.000Z,0,62.0,61.5,62.0,62.0,62.5,65.0,67.5,70.0
2026-02-10T00:00:00.000Z,0,55.0,57.0,59.0,60.0,60.5,63.5,66.0,69.0
2026-02-20T00:00:00.000Z,0,53.0,55.0,56.5,58.0,59.0,62.0,64.5,68.0
2026-02-28T00:00:00.000Z,0,56.0,54.5,55.5,56.0,57.0,60.0,63.0,66.5
2026-03-10T00:00:00.000Z,0,64.5,60.5,59.0,58.5,58.5,60.0,62.5,66.0
2026-03-20T00:00:00.000Z,0,82.5,77.5,72.0,68.5,66.5,64.5,65.0,67.0
2026-04-10T00:00:00.000Z,0,90.5,89.0,87.5,84.0,81.0,74.5,72.0,71.5
2026-04-20T00:00:00.000Z,0,94.0,94.0,92.0,89.0,86.0,78.5,75.0,73.0
2026-01-10T00:00:00.000Z,0,61.5,60.0,60.0,61.5,63.0,67.0,69.5,72.0
2026-04-30T00:00:00.000Z,0,87.5,89.5,90.0,89.5,87.5,81.0,77.5,75.0
