date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,60.0,62.0,64.5,66.0,66.5,68.0,68.5,68.5
2026-01-10T00:00:00.000Z,0,65.0,62.0,62.5,63.5,64.5,66.5,67.0,68.0
2026-01-20T00:00:00.000Z,0,56.0,59.5,60.5,62.0,62.5,65.0,66.5,67.5
2026-01-31T00:00:00.000Z,0,62.0,59.0,59.0,59.5,60.5,63.5,65.0,66.0
2026-02-10T00:00:00.000Z,0,66.5,63.0,62.0,61.5,61.5,63.5,64.5,66.0
2026-02-20T00:00:00.000Z,0,67.5,69.0,67.0,65.5,65.0,65.0,65.0,66.0
2026-02-28T00:00:00.000Z,0,83.0,76.0,72.0,69.5,68.0,66.5,66.5,67.0
2026-03-10T00:00:00.000Z,0,91.0,89.5,85.0,81.0,78.0,72.5,70.5,69.5
2026-03-20T00:00:00.000Z,0,90.5,89.0,87.5,85.0,82.0,76.0,73.5,71.0
2026-04-10T00:00:00.000Z,0,90.5,91.5,91.5,90.5,89.0,82.5,79.5,75.5
2026-04-20T00:00:00.000Z,0,84.5,87.0,88.5,89.0,88.0,84.0,80.0,76.0
2026-04-30T00:00:00.000Z,0,65.5,71.5,77.0,80.0,81.5,81.0,79.0,76.0
