date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,48.5,50.5,53.5,54.5,55.0,55.0,54.5,55.0
2026-01-10T00:00:00.000Z,0,40.5,44.5,48.0,50.0,51.0,52.5,53.0,54.0
2026-01-20T00:00:00.000Z,0,36.5,34.5,38.0,40.5,43.0,47.5,49.5,51.5
2026-01-31T00:00:00.000Z,0,48.5,43.0,41.5,42.0,43.0,46.5,48.5,51.0
2026-02-10T00:00:00.000Z,0,45.0,45.0,44.0,43.5,44.0,46.5,48.0,50.0
2026-02-20T00:00:00.000Z,0,68.0,61.0,55.0,52.0,50.5,49.5,50.0,51.0
2026-02-28T00:00:00.000Z,0,71.5,66.5,61.5,58.0,56.0,52.5,52.0,52.5
2026-03-10T00:00:00.000Z,0,76.0,75.0,70.5,66.5,63.5,57.5,55.5,54.5
2026-03-20T00:00:00.000Z,0,64.5,68.5,69.5,68.0,66.0,60.5,58.0,56.0
2026-04-10T00:00:00.000Z,0,79.5,77.5,74.5,72.5,71.0,65.0,62.0,59.0
2026-04-20T00:00:00.000Z,0,79.0,79.5,78.0,76.5,74.5,69.0,65.0,61.0
2026-04-30T00:00:00.000Z,0,52.0,63.0,69.0,70.5,71.0,68.0,65.0,61.5
