date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,59.0,59.5,59.5,59.0,59.0,58.0,58.0,56.0
2026-01-10T00:00:00.000Z,0,66.0,64.0,62.5,61.5,61.0,59.5,58.5,56.5
2026-01-20T00:00:00.000Z,0,63.5,63.5,63.5,62.5,62.5,60.5,59.5,57.5
2026-01-31T00:00:00.000Z,0,62.0,62.0,62.5,62.5,62.0,61.0,60.0,58.0
2026-02-20T00:00:00.000Z,0,59.5,58.5,58.0,58.5,59.0,59.5,59.0,58.0
2026-02-28T00:00:00.000Z,0,59.5,58.5,58.0,58.5,58.5,59.0,59.0,58.0
2026-03-10T00:00:00.000Z,0,59.5,59.0,59.0,59.0,59.0,59.5,59.0,58.0
2026-03-20T00:00:00.000Z,0,64.5,64.0,63.0,62.0,61.5,60.5,60.0,59.0
2026-04-10T00:00:00.000Z,0,74.5,73.0,71.5,69.5,68.5,65.0,63.5,61.0
2026-04-20T00:00:00.000Z,0,78.5,79.0,77.0,75.0,73.0,68.5,66.0,63.0
2026-04-30T00:00:00.000Z,0,59.5,61.5,66.5,68.0,68.0,67.0,65.5,63.0
2026-02-10T00:00:00.000Z,0,53.5,55.5,58.0,59.0,59.5,60.0,59.5,58.0
