date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,43.5,42.5,44.0,45.0,46.0,46.5,46.0,45.0
2026-01-10T00:00:00.000Z,0,42.0,44.0,44.5,45.0,45.5,46.0,45.5,45.0
2026-01-20T00:00:00.000Z,0,43.5,41.5,41.5,42.5,43.5,44.5,44.5,44.5
2026-01-31T00:00:00.000Z,0,59.5,55.5,51.0,49.0,48.0,47.0,46.5,45.5
2026-02-20T00:00:00.000Z,0,64.0,61.5,57.5,55.5,54.0,50.5,49.0,47.5
2026-02-28T00:00:00.000Z,0,66.5,62.0,60.0,57.5,56.5,52.5,51.0,48.5
2026-03-10T00:00:00.000Z,0,72.5,73.0,70.0,67.0,64.0,58.0,55.0,51.5
2026-03-20T00:00:00.000Z,0,61.0,64.0,66.0,65.5,64.0,59.5,56.5,53.0
2026-04-10T00:00:00.000Z,0,56.5,62.0,64.0,65.0,64.5,62.0,59.0,55.0
2026-04-20T00:00:00.000Z,0,66.0,66.5,66.0,66.0,65.5,63.0,60.0,56.0
2026-04-30T00:00:00.000Z,0,28.0,39.5,48.5,53.0,55.5,58.0,57.5,55.0
2026-02-10T00:00:00.000Z,0,51.5,51.0,50.5,50.0,49.5,48.0,47.0,46.0
