date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2026-01-10T00:00:00.000Z,0,48.5,39.5,35.5,35.0,36.0,40.0,44.0,48.5
2026-01-20T00:00:00.000Z,0,43.0,46.0,44.0,42.0,41.0,42.5,45.0,48.5
2026-01-31T00:00:00.000Z,0,38.0,39.0,40.0,40.0,40.0,41.5,43.5,47.5
2026-02-20T00:00:00.000Z,0,39.0,45.0,45.0,44.5,43.5,43.5,44.5,47.0
2026-02-28T00:00:00.000Z,0,55.0,49.0,47.0,46.0,45.0,44.0,44.5,47.0
2026-03-10T00:00:00.000Z,0,70.0,59.5,54.5,51.5,50.0,46.5,46.5,48.0
2026-03-20T00:00:00.000Z,0,73.5,75.5,70.5,66.0,62.5,54.5,52.5,51.5
2026-04-10T00:00:00.000Z,0,69.0,71.0,72.0,70.5,69.0,61.5,58.0,55.5
2026-04-20T00:00:00.000Z,0,79.5,76.5,75.0,74.0,72.0,65.0,61.0,57.5
2026-04-30T00:00:00.000Z,0,71.5,70.5,72.0,72.0,71.5,66.5,62.5,59.0
2025-12-31T00:00:00.000Z,0,22.5,24.5,28.5,31.5,34.0,41.0,45.5,49.5
2026-02-10T00:00:00.000Z,0,49.5,45.0,43.0,42.0,41.5,42.0,44.0,47.0
