date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,58.5,65.0,68.0,69.0,69.5,69.0,67.5,65.5
2026-01-10T00:00:00.000Z,0,69.0,66.5,66.5,67.5,68.0,68.0,67.0,65.5
2026-01-20T00:00:00.000Z,0,44.5,53.0,58.0,60.5,62.5,65.0,65.5,64.5
2026-01-31T00:00:00.000Z,0,33.5,38.5,44.5,48.5,52.0,58.5,61.0,62.0
2026-02-10T00:00:00.000Z,0,44.5,40.5,41.0,44.0,47.0,54.0,57.0,59.5
2026-02-20T00:00:00.000Z,0,33.0,38.5,40.0,42.0,44.0,51.5,55.0,58.0
2026-02-28T00:00:00.000Z,0,48.0,41.0,40.5,41.0,42.5,49.0,52.5,56.0
2026-03-10T00:00:00.000Z,0,49.0,50.0,48.0,46.5,46.5,50.0,53.0,56.0
2026-03-20T00:00:00.000Z,0,60.5,55.5,52.5,50.5,49.5,51.0,53.0,56.0
2026-04-10T00:00:00.000Z,0,77.0,75.0,70.0,66.0,63.0,58.0,57.5,58.0
2026-04-20T00:00:00.000Z,0,81.0,81.0,77.5,73.5,70.0,63.0,61.0,60.0
2026-04-30T00:00:00.000Z,0,73.5,75.0,75.5,74.0,72.0,65.5,63.0,61.5
