date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,28.0,30.0,33.5,35.5,37.5,43.5,47.5,52.0
2026-01-10T00:00:00.000Z,0,48.0,40.5,37.5,37.5,38.0,42.0,46.0,51.0
2026-01-20T00:00:00.000Z,0,37.5,41.5,41.5,40.5,40.5,42.5,46.0,50.5
2026-01-31T00:00:00.000Z,0,26.5,29.5,32.5,34.5,35.5,39.5,43.0,48.0
2026-02-10T00:00:00.000Z,0,39.5,34.5,33.5,34.0,35.0,38.0,41.5,47.0
2026-02-20T00:00:00.000Z,0,27.5,31.5,33.0,33.5,34.0,37.0,40.5,45.5
2026-02-28T00:00:00.000Z,0,38.5,36.0,35.0,34.5,34.5,36.5,39.5,44.5
2026-03-10T00:00:00.000Z,0,47.5,40.0,37.0,36.0,35.5,37.0,39.5,44.0
2026-03-20T00:00:00.000Z,0,68.0,65.5,57.5,52.0,48.5,43.5,43.5,46.0
2026-04-10T00:00:00.000Z,0,62.0,63.5,64.5,62.5,60.5,53.5,50.5,50.5
2026-04-20T00:00:00.000Z,0,79.5,75.0,71.0,68.0,65.5,57.5,54.0,52.0
2026-04-30T00:00:00.000Z,0,76.0,74.0,73.0,71.5,69.0,61.5,57.5,54.5
