date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2026-01-31T00:00:00.000Z,0,63.0,65.5,66.0,66.0,65.5,62.0,59.0,55.0
2026-02-10T00:00:00.000Z,0,67.0,63.5,63.5,64.0,64.0,62.0,59.5,55.5
2026-02-20T00:00:00.000Z,0,60.0,65.0,65.5,65.5,65.0,63.0,60.5,56.5
2026-03-20T00:00:00.000Z,0,81.5,81.0,79.5,77.5,75.5,70.5,67.0,61.5
2025-12-31T00:00:00.000Z,0,52.0,54.0,57.0,58.5,58.5,55.5,52.5,50.0
2026-01-10T00:00:00.000Z,0,74.0,69.5,66.0,64.0,63.0,58.5,55.5,52.0
2026-01-20T00:00:00.000Z,0,65.5,66.5,66.5,65.5,64.5,60.5,57.5,53.5
2026-02-28T00:00:00.000Z,0,74.5,66.0,64.5,64.0,64.5,63.0,61.0,57.0
2026-03-10T00:00:00.000Z,0,82.0,81.0,76.0,73.0,71.0,67.0,64.0,59.5
2026-04-10T00:00:00.000Z,0,92.5,90.0,87.5,85.5,83.5,77.0,72.5,66.5
2026-04-20T00:00:00.000Z,0,96.0,96.0,93.0,90.5,88.5,81.0,76.0,69.0
2026-04-30T00:00:00.000Z,0,74.5,81.5,85.0,86.0,85.5,81.5,77.5,70.5
