date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,47.5,53.0,57.0,58.5,60.0,62.5,64.0,65.5
2026-01-10T00:00:00.000Z,0,61.5,58.0,57.0,58.0,58.5,61.0,63.0,65.0
2026-01-20T00:00:00.000Z,0,39.5,47.0,50.5,52.5,54.0,58.0,60.5,63.0
2026-01-31T00:00:00.000Z,0,32.5,35.0,39.0,43.0,45.5,52.0,56.0,60.0
2026-02-28T00:00:00.000Z,0,45.5,47.0,48.5,48.5,49.0,51.0,54.0,57.5
2026-03-10T00:00:00.000Z,0,48.0,47.0,47.0,47.5,48.0,50.0,52.5,56.5
2026-04-20T00:00:00.000Z,0,64.0,69.0,68.0,66.0,64.0,59.5,58.5,59.0
2026-04-30T00:00:00.000Z,0,68.0,64.5,64.5,64.5,63.5,60.5,59.0,59.5
2026-02-10T00:00:00.000Z,0,54.0,45.0,42.0,43.0,44.5,50.0,54.0,58.5
2026-02-20T00:00:00.000Z,0,56.0,58.0,54.0,51.5,50.5,52.5,55.0,59.0
2026-03-20T00:00:00.000Z,0,61.0,57.5,54.5,52.5,52.0,51.5,53.5,56.5
2026-04-10T00:00:00.000Z,0,74.5,70.0,65.5,63.0,60.5,56.5,56.5,58.0
