date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2021-12-31T00:00:00.000Z,0,52.5,48.5,48.5,49.5,51.0,54.0,55.5,56.0
2022-01-10T00:00:00.000Z,0,47.0,44.0,45.0,46.5,48.0,52.0,54.0,55.0
2022-01-20T00:00:00.000Z,0,57.5,58.5,55.0,53.5,53.0,53.5,54.5,55.0
2022-01-31T00:00:00.000Z,0,33.0,41.5,46.0,47.5,48.5,51.0,53.0,54.5
2022-02-10T00:00:00.000Z,0,24.5,28.0,33.5,37.5,40.0,46.0,49.5,52.0
2022-02-28T00:00:00.000Z,0,50.5,39.5,35.0,34.5,35.0,40.5,44.5,49.0
2022-03-10T00:00:00.000Z,0,57.0,54.5,48.0,44.5,43.0,44.0,46.0,49.5
2022-03-20T00:00:00.000Z,0,56.5,58.0,55.0,51.5,49.5,47.0,48.0,50.0
2022-03-31T00:00:00.000Z,0,43.0,48.0,50.5,50.0,49.0,47.5,48.0,50.0
2022-04-10T00:00:00.000Z,0,61.5,56.5,54.0,53.0,51.5,49.0,49.5,50.5
2022-04-20T00:00:00.000Z,0,68.5,66.0,62.5,60.0,58.0,53.0,52.0,52.0
2022-04-30T00:00:00.000Z,0,57.5,60.5,61.0,60.5,59.5,55.0,53.0,53.0
2022-02-20T00:00:00.000Z,0,20.0,20.5,25.0,29.5,33.0,41.0,45.5,50.0
