date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,53.0,58.5,63.5,66.0,67.0,66.0,64.5,62.5
2026-01-10T00:00:00.000Z,0,70.0,65.0,64.5,65.0,66.0,65.5,64.5,63.0
2026-01-31T00:00:00.000Z,0,47.0,53.0,56.0,57.5,59.0,61.5,62.0,61.5
2026-02-10T00:00:00.000Z,0,78.5,63.0,59.0,59.0,59.0,61.0,61.5,61.5
2026-02-20T00:00:00.000Z,0,80.0,79.0,73.0,69.0,67.5,65.0,64.5,63.0
2026-02-28T00:00:00.000Z,0,83.5,79.5,76.5,73.5,71.5,68.0,66.0,64.5
2026-03-10T00:00:00.000Z,0,80.0,81.5,80.0,77.5,76.0,71.5,68.5,66.0
2026-03-20T00:00:00.000Z,0,83.0,80.5,80.0,79.0,77.5,73.0,70.5,67.5
2026-04-10T00:00:00.000Z,0,92.0,91.0,89.5,87.5,85.5,80.0,76.0,71.5
2026-04-20T00:00:00.000Z,0,81.0,86.5,87.5,87.0,86.0,81.0,77.5,72.5
2026-04-30T00:00:00.000Z,0,63.0,68.0,73.5,76.5,78.0,78.0,76.0,72.5
2026-01-20T00:00:00.000Z,0,56.0,58.5,60.5,62.0,63.0,64.0,63.5,62.5
