date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,53.0,57.0,62.0,64.5,66.5,68.5,69.0,69.5
2026-01-10T00:00:00.000Z,0,55.0,54.5,56.5,59.5,61.5,65.5,66.5,68.0
2026-01-20T00:00:00.000Z,0,46.0,47.5,50.5,53.5,56.0,61.5,64.0,66.0
2026-01-31T00:00:00.000Z,0,48.5,45.5,46.5,49.0,51.0,57.0,60.5,64.0
2026-02-10T00:00:00.000Z,0,67.5,57.5,53.5,53.0,53.5,57.0,60.0,63.0
2026-02-20T00:00:00.000Z,0,87.0,81.0,71.0,66.0,63.5,62.0,62.5,64.5
2026-02-28T00:00:00.000Z,0,79.5,77.0,74.0,70.5,68.0,64.5,64.5,65.5
2026-03-10T00:00:00.000Z,0,83.5,83.5,81.0,78.0,75.0,70.0,68.0,67.5
2026-03-20T00:00:00.000Z,0,92.0,88.5,85.5,82.5,80.0,73.5,71.0,69.0
2026-04-10T00:00:00.000Z,0,95.5,96.5,95.5,93.5,91.0,83.0,79.0,74.5
2026-04-20T00:00:00.000Z,0,91.0,93.5,94.5,93.5,92.0,85.0,80.5,76.0
2026-04-30T00:00:00.000Z,0,72.0,78.0,83.0,85.5,86.0,83.5,80.5,76.0
