date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2026-01-20T00:00:00.000Z,0,78.5,79.0,76.5,74.0,72.5,68.0,64.0,58.5
2026-01-31T00:00:00.000Z,0,84.0,81.5,79.5,78.0,76.0,71.0,67.0,61.0
2026-02-28T00:00:00.000Z,0,71.0,68.0,70.0,72.0,72.5,72.0,69.5,64.5
2026-04-10T00:00:00.000Z,0,64.0,67.5,69.0,69.5,70.0,71.0,70.0,67.0
2026-04-30T00:00:00.000Z,0,41.0,45.5,51.5,55.5,58.0,63.5,65.0,64.5
2025-12-31T00:00:00.000Z,0,61.5,65.5,67.0,66.5,65.5,61.5,58.0,53.0
2026-01-10T00:00:00.000Z,0,79.0,72.5,70.0,68.5,67.5,63.5,60.5,55.5
2026-02-10T00:00:00.000Z,0,77.0,80.0,80.0,79.0,78.0,73.0,69.0,63.5
2026-02-20T00:00:00.000Z,0,71.5,75.0,76.5,77.0,76.5,73.5,70.0,65.0
2026-03-10T00:00:00.000Z,0,78.0,78.5,76.5,75.5,75.5,74.0,71.0,66.5
2026-03-20T00:00:00.000Z,0,67.0,68.5,70.5,72.0,72.5,72.5,70.5,66.5
2026-04-20T00:00:00.000Z,0,56.0,60.5,63.5,65.5,66.5,69.0,68.5,66.5
