date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,33.0,36.5,40.5,42.5,44.0,49.0,52.5,55.0
2026-01-10T00:00:00.000Z,0,37.0,35.0,36.5,38.5,40.0,45.5,49.5,53.0
2026-01-20T00:00:00.000Z,0,28.0,31.5,33.5,35.5,37.0,43.0,47.0,51.5
2026-01-31T00:00:00.000Z,0,16.5,20.5,24.5,27.5,30.0,37.5,42.5,48.0
2026-02-10T00:00:00.000Z,0,18.0,15.5,17.5,20.5,23.0,32.0,37.5,44.5
2026-02-20T00:00:00.000Z,0,10.0,14.0,16.0,18.5,20.5,29.0,35.0,42.5
2026-02-28T00:00:00.000Z,0,7.0,9.0,11.0,13.5,16.0,25.0,31.5,39.5
2026-03-10T00:00:00.000Z,0,17.5,10.0,9.0,11.0,12.5,20.5,27.0,36.0
2026-03-20T00:00:00.000Z,0,49.0,39.0,29.0,24.5,23.0,24.5,29.0,36.5
2026-04-10T00:00:00.000Z,0,45.0,47.0,46.5,44.0,41.5,36.0,36.0,39.5
2026-04-20T00:00:00.000Z,0,74.0,65.0,58.0,53.5,49.5,41.5,39.5,41.5
2026-04-30T00:00:00.000Z,0,59.0,59.0,58.5,56.0,53.5,45.5,42.5,43.0
