date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,42.0,46.0,50.5,53.5,55.5,59.5,61.5,63.0
2026-01-10T00:00:00.000Z,0,53.0,51.0,51.0,52.0,54.0,57.5,59.5,62.0
2026-01-20T00:00:00.000Z,0,34.5,38.5,42.5,45.0,47.5,53.5,56.5,59.5
2026-01-31T00:00:00.000Z,0,24.0,27.5,32.5,36.5,39.5,47.5,52.0,56.5
2026-02-10T00:00:00.000Z,0,54.0,42.5,38.5,38.5,39.5,46.0,50.0,55.0
2026-02-20T00:00:00.000Z,0,45.0,50.5,48.0,46.0,45.5,48.0,51.0,55.0
2026-04-10T00:00:00.000Z,0,79.0,75.5,70.0,65.0,61.5,55.0,53.5,54.5
2026-04-20T00:00:00.000Z,0,68.5,74.0,73.0,70.5,67.0,59.5,57.0,57.0
2026-04-30T00:00:00.000Z,0,61.0,62.0,65.0,65.0,64.5,59.5,57.5,57.0
2026-02-28T00:00:00.000Z,0,34.0,37.5,40.5,41.0,41.5,45.0,48.5,53.0
2026-03-10T00:00:00.000Z,0,35.0,35.0,36.5,38.0,39.0,43.0,46.5,51.5
2026-03-20T00:00:00.000Z,0,59.0,52.5,47.5,45.5,45.0,45.0,47.5,51.5
