date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,47.5,52.0,56.0,57.5,58.0,59.5,60.5,62.5
2026-01-10T00:00:00.000Z,0,54.0,51.0,52.5,53.5,55.0,57.5,59.0,61.0
2026-01-20T00:00:00.000Z,0,44.5,48.0,49.5,51.0,52.5,55.5,57.0,60.0
2026-01-31T00:00:00.000Z,0,49.0,46.5,47.0,48.0,49.5,53.0,55.0,58.0
2026-02-10T00:00:00.000Z,0,66.0,57.0,53.0,52.0,52.0,53.5,55.5,58.0
2026-02-20T00:00:00.000Z,0,84.5,80.5,71.0,66.0,63.0,59.0,59.0,60.0
2026-02-28T00:00:00.000Z,0,88.0,83.5,78.5,74.0,70.5,64.0,62.5,62.0
2026-03-10T00:00:00.000Z,0,90.0,89.5,86.5,82.5,79.0,70.5,67.5,65.0
2026-03-20T00:00:00.000Z,0,90.0,90.0,88.5,86.0,83.0,74.5,70.5,67.5
2026-04-30T00:00:00.000Z,0,67.0,71.5,76.0,79.0,80.5,80.0,77.0,73.0
2026-04-10T00:00:00.000Z,0,90.0,91.5,91.5,90.5,89.0,81.5,77.0,72.0
2026-04-20T00:00:00.000Z,0,81.5,86.0,88.5,88.5,88.0,83.0,78.0,73.0
