date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,56.0,61.5,65.5,66.0,66.0,64.0,63.0,62.0
2026-01-10T00:00:00.000Z,0,53.0,56.5,59.5,61.5,62.0,62.5,62.0,61.5
2026-01-20T00:00:00.000Z,0,55.0,50.5,52.5,54.5,56.5,59.0,59.5,60.0
2026-01-31T00:00:00.000Z,0,68.0,64.0,61.0,60.0,60.0,60.5,60.5,60.5
2026-02-10T00:00:00.000Z,0,82.5,78.5,72.5,69.5,67.0,64.5,63.0,62.5
2026-02-20T00:00:00.000Z,0,69.0,74.5,74.0,72.0,70.5,66.5,65.0,63.0
2026-02-28T00:00:00.000Z,0,83.5,76.5,74.5,73.0,71.5,68.5,66.0,64.0
2026-03-10T00:00:00.000Z,0,85.0,85.5,82.5,79.5,77.5,72.5,69.5,66.5
2026-03-20T00:00:00.000Z,0,88.0,85.5,84.5,82.5,80.5,75.0,71.5,68.0
2026-04-10T00:00:00.000Z,0,99.0,97.5,95.0,92.5,90.5,83.0,78.5,73.0
2026-04-20T00:00:00.000Z,0,99.0,99.0,97.5,95.5,93.5,86.5,81.5,75.0
2026-04-30T00:00:00.000Z,0,87.0,91.0,93.5,93.5,93.0,88.0,83.0,77.0
