date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2026-01-20T00:00:00.000Z,0,34.5,37.5,38.5,39.0,40.0,45.0,50.5,56.5
2026-01-31T00:00:00.000Z,0,26.5,29.0,32.0,34.0,36.0,41.5,47.5,54.0
2026-02-10T00:00:00.000Z,0,42.0,38.0,35.5,36.0,36.0,40.5,45.5,52.5
2026-02-20T00:00:00.000Z,0,16.5,26.5,30.5,32.0,33.0,38.0,43.0,50.0
2026-02-28T00:00:00.000Z,0,8.0,13.0,19.5,23.5,26.0,33.0,39.0,47.5
2026-03-10T00:00:00.000Z,0,14.0,11.5,13.5,16.5,19.5,27.5,34.5,43.5
2026-03-20T00:00:00.000Z,0,29.5,27.0,23.5,22.5,23.0,27.5,33.0,41.5
2026-04-10T00:00:00.000Z,0,41.5,44.5,42.5,39.0,36.5,34.5,36.5,42.0
2026-04-20T00:00:00.000Z,0,62.0,55.5,50.5,47.0,44.0,39.0,39.0,43.5
2026-04-30T00:00:00.000Z,0,52.5,53.0,52.0,49.5,47.0,41.5,41.0,44.0
2025-12-31T00:00:00.000Z,0,31.5,35.0,39.5,41.5,43.5,50.0,55.5,60.5
2026-01-10T00:00:00.000Z,0,41.0,37.5,38.0,39.0,40.5,47.0,52.5,58.0
