date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2026-01-31T00:00:00.000Z,0,43.0,43.5,46.0,49.0,51.5,58.5,62.0,65.5
2026-01-20T00:00:00.000Z,0,46.0,49.5,52.5,55.0,57.5,63.0,65.5,68.0
2026-02-10T00:00:00.000Z,0,56.5,49.5,48.0,49.0,50.0,56.0,59.5,63.5
2025-12-31T00:00:00.000Z,0,55.5,60.5,65.0,67.0,68.5,70.5,71.0,71.5
2026-01-10T00:00:00.000Z,0,53.5,55.0,58.5,61.0,63.0,67.0,68.5,69.5
2026-02-20T00:00:00.000Z,0,68.0,66.0,60.0,57.5,56.5,58.5,61.0,64.0
2026-02-28T00:00:00.000Z,0,61.0,62.5,61.0,59.5,58.5,58.5,61.0,64.0
2026-03-10T00:00:00.000Z,0,58.0,58.5,59.5,59.0,58.5,59.0,60.5,63.0
2026-03-20T00:00:00.000Z,0,77.5,70.0,66.0,64.0,62.5,61.0,61.5,63.5
2026-04-10T00:00:00.000Z,0,87.5,87.5,85.0,81.5,78.5,71.5,69.0,68.0
2026-04-20T00:00:00.000Z,0,89.0,89.0,88.0,85.0,82.5,75.0,72.0,70.0
2026-04-30T00:00:00.000Z,0,75.0,79.5,82.0,82.5,81.5,76.0,73.0,71.0
