date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,57.5,56.0,56.0,56.0,56.0,56.5,56.0,55.5
2026-01-10T00:00:00.000Z,0,65.5,64.5,62.0,60.5,59.5,58.0,57.5,56.5
2026-01-20T00:00:00.000Z,0,79.0,72.0,68.5,65.5,64.5,61.0,59.5,58.0
2026-01-31T00:00:00.000Z,0,74.0,76.0,74.0,72.0,70.0,65.0,62.5,59.5
2026-02-10T00:00:00.000Z,0,64.0,67.0,69.0,69.0,68.5,65.5,63.0,60.5
2026-02-20T00:00:00.000Z,0,63.0,66.0,67.0,68.0,68.0,65.5,64.0,61.0
2026-03-20T00:00:00.000Z,0,86.0,84.5,81.5,79.5,77.5,72.5,69.5,65.5
2026-04-10T00:00:00.000Z,0,84.0,84.5,84.5,83.5,82.0,77.5,74.0,69.0
2026-04-20T00:00:00.000Z,0,85.0,86.0,85.5,85.0,84.0,79.5,76.0,70.5
2026-04-30T00:00:00.000Z,0,65.5,70.5,75.0,77.5,78.5,77.5,75.0,70.5
2026-03-10T00:00:00.000Z,0,79.5,79.0,76.0,74.0,72.5,69.0,66.5,63.5
2026-02-28T00:00:00.000Z,0,75.0,68.5,67.0,67.5,67.5,65.5,64.0,61.5
