date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,75.0,79.0,78.0,77.0,76.0,75.0,74.5,72.0
2026-01-10T00:00:00.000Z,0,74.0,74.0,75.0,75.0,75.0,75.0,74.0,72.0
2026-01-20T00:00:00.000Z,0,61.0,66.5,69.5,71.0,72.0,73.0,73.0,71.5
2026-01-31T00:00:00.000Z,0,51.0,54.0,58.5,61.5,64.0,68.5,70.0,69.5
2026-02-10T00:00:00.000Z,0,53.0,51.0,53.5,56.5,59.0,64.5,67.0,68.0
2026-02-20T00:00:00.000Z,0,49.5,50.5,51.5,53.5,56.0,62.0,64.5,66.5
2026-02-28T00:00:00.000Z,0,52.0,50.5,50.5,51.5,53.5,59.0,62.5,65.0
2026-03-10T00:00:00.000Z,0,51.0,52.0,52.0,52.0,53.0,58.0,61.0,64.0
2026-03-20T00:00:00.000Z,0,60.5,58.5,56.5,55.5,55.5,58.0,60.5,63.0
2026-04-10T00:00:00.000Z,0,71.0,66.5,63.5,62.0,60.5,60.0,61.5,63.0
2026-04-20T00:00:00.000Z,0,70.5,72.5,70.0,67.0,65.5,63.0,63.0,64.0
2026-04-30T00:00:00.000Z,0,66.0,67.0,67.5,67.0,66.0,63.5,63.5,64.0
