date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,61.0,67.5,74.0,77.0,78.0,75.5,72.5,67.0
2026-01-10T00:00:00.000Z,0,76.5,73.5,73.5,75.0,76.0,75.0,72.0,67.5
2026-01-20T00:00:00.000Z,0,53.5,59.5,64.5,67.5,69.5,71.5,70.5,66.5
2026-01-31T00:00:00.000Z,0,40.5,46.5,52.0,57.0,60.0,66.0,66.5,65.0
2026-02-10T00:00:00.000Z,0,79.5,63.5,58.5,59.0,60.0,64.5,65.5,64.0
2026-02-20T00:00:00.000Z,0,68.5,74.0,69.5,67.0,66.5,67.0,67.0,65.0
2026-02-28T00:00:00.000Z,0,76.0,71.5,69.5,68.0,67.0,67.5,67.5,65.5
2026-03-10T00:00:00.000Z,0,86.0,83.0,79.0,76.5,74.5,71.5,70.0,67.5
2026-03-20T00:00:00.000Z,0,88.5,87.5,84.5,81.5,79.5,75.0,72.5,69.5
2026-04-10T00:00:00.000Z,0,94.5,94.0,92.0,90.0,87.5,81.5,78.0,73.5
2026-04-20T00:00:00.000Z,0,88.0,92.5,92.5,91.5,89.5,83.5,80.0,75.0
2026-04-30T00:00:00.000Z,0,72.5,78.5,82.5,84.0,84.5,82.5,80.0,75.0
