date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,37.0,46.5,49.0,49.0,48.5,48.5,48.0,48.5
2026-01-10T00:00:00.000Z,0,39.0,39.5,42.0,43.5,44.5,46.0,47.0,47.5
2026-01-20T00:00:00.000Z,0,27.0,29.0,33.0,36.0,38.0,42.5,44.0,45.5
2026-01-31T00:00:00.000Z,0,19.0,23.0,26.5,29.5,32.0,38.0,40.5,43.5
2026-02-10T00:00:00.000Z,0,31.0,24.5,25.0,26.5,28.5,34.5,38.0,41.0
2026-02-20T00:00:00.000Z,0,32.0,33.5,31.5,31.0,31.0,35.0,38.0,41.0
2026-02-28T00:00:00.000Z,0,34.0,29.5,29.0,29.5,29.5,33.5,36.0,40.0
2026-03-10T00:00:00.000Z,0,39.0,37.0,34.5,33.5,33.0,34.5,36.5,40.0
2026-03-20T00:00:00.000Z,0,47.0,46.5,42.5,40.0,38.0,37.0,38.0,40.0
2026-04-10T00:00:00.000Z,0,45.0,44.0,44.0,43.0,42.0,39.5,39.5,41.0
2026-04-20T00:00:00.000Z,0,62.0,54.5,50.5,48.0,47.0,43.0,42.0,42.0
2026-04-30T00:00:00.000Z,0,53.5,52.5,52.0,50.5,49.0,45.0,43.5,43.5
