date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2026-01-31T00:00:00.000Z,0,72.5,70.0,68.0,67.0,66.5,63.5,60.5,57.5
2025-12-31T00:00:00.000Z,0,65.0,65.0,65.0,64.5,63.5,59.5,56.5,54.0
2026-01-10T00:00:00.000Z,0,69.5,70.5,69.5,68.0,66.5,62.0,58.5,56.0
2026-01-20T00:00:00.000Z,0,62.0,62.0,63.5,64.0,64.5,61.5,59.0,56.5
2026-02-10T00:00:00.000Z,0,57.0,61.0,63.5,64.0,64.5,63.0,61.0,58.0
2026-02-20T00:00:00.000Z,0,71.0,66.5,65.0,65.0,64.5,63.5,61.5,59.0
2026-02-28T00:00:00.000Z,0,71.0,68.0,66.5,66.0,65.5,64.5,62.0,59.5
2026-03-10T00:00:00.000Z,0,70.5,72.5,71.0,70.0,69.0,66.5,64.0,61.0
2026-03-20T00:00:00.000Z,0,70.5,68.0,68.5,68.0,68.0,66.5,64.5,61.5
2026-04-10T00:00:00.000Z,0,81.5,82.0,80.0,78.0,76.5,72.0,69.0,65.0
2026-04-20T00:00:00.000Z,0,84.0,84.0,83.0,81.5,80.0,75.0,71.5,67.0
2026-04-30T00:00:00.000Z,0,68.5,76.0,79.0,79.5,78.5,75.5,72.5,68.0
