date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,62.5,69.5,73.5,73.5,72.0,64.0,57.5,50.5
2026-01-10T00:00:00.000Z,0,85.0,79.5,77.0,75.5,74.5,67.0,60.5,53.0
2026-01-20T00:00:00.000Z,0,62.5,71.0,73.5,74.0,73.5,68.5,63.0,55.0
2026-01-31T00:00:00.000Z,0,44.0,50.5,57.5,62.0,64.0,64.0,60.5,54.5
2026-02-10T00:00:00.000Z,0,59.0,54.0,54.5,57.0,59.0,61.5,59.0,54.5
2026-02-20T00:00:00.000Z,0,37.0,46.0,50.0,53.0,55.5,59.0,58.0,53.5
2026-02-28T00:00:00.000Z,0,61.0,52.0,50.0,51.0,52.5,56.5,56.5,53.5
2026-03-20T00:00:00.000Z,0,74.5,77.5,74.5,71.5,69.0,65.5,62.5,57.5
2026-04-10T00:00:00.000Z,0,93.5,89.0,83.0,79.5,76.5,70.5,67.0,61.5
2026-04-20T00:00:00.000Z,0,97.5,96.5,91.5,87.0,83.5,75.0,70.5,64.0
2026-04-30T00:00:00.000Z,0,82.0,86.5,88.5,87.0,85.0,78.0,73.5,66.5
2026-03-10T00:00:00.000Z,0,77.5,74.0,67.0,64.0,62.5,61.0,59.5,55.5
