date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2020-12-31T00:00:00.000Z,0,29.5,34.5,38.5,40.5,41.5,42.5,42.5,42.5
2021-01-10T00:00:00.000Z,0,54.0,45.5,42.5,42.0,42.5,42.5,42.5,42.5
2021-02-20T00:00:00.000Z,0,33.0,38.0,43.0,45.0,46.0,46.5,45.5,45.0
2021-02-28T00:00:00.000Z,0,41.0,39.0,40.5,42.5,43.5,45.0,45.0,44.0
2021-03-10T00:00:00.000Z,0,46.5,42.5,41.5,42.0,42.5,44.0,44.0,44.0
2021-03-20T00:00:00.000Z,0,66.0,61.5,56.0,53.0,51.0,48.5,47.5,46.0
2021-04-10T00:00:00.000Z,0,77.5,75.5,71.0,67.0,64.5,57.5,54.0,50.5
2021-04-20T00:00:00.000Z,0,67.5,71.5,71.5,69.5,67.0,60.5,56.5,52.5
2021-04-30T00:00:00.000Z,0,61.0,63.0,65.5,66.0,65.5,61.0,57.5,53.5
2021-01-20T00:00:00.000Z,0,50.5,49.0,47.0,46.0,45.5,44.0,43.5,43.5
2021-01-31T00:00:00.000Z,0,63.0,61.5,57.0,54.0,52.0,48.5,46.5,45.0
2021-02-10T00:00:00.000Z,0,46.5,51.0,52.5,52.0,51.5,49.0,47.0,46.0
2021-03-31T00:00:00.000Z,0,65.5,63.5,61.0,58.5,56.5,52.0,50.0,47.5
