date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,14.5,15.5,18.0,20.5,23.0,30.0,33.5,37.0
2026-01-10T00:00:00.000Z,0,16.5,16.0,16.5,18.0,20.0,26.5,30.5,34.5
2026-01-20T00:00:00.000Z,0,25.5,21.0,19.0,19.0,20.0,25.0,28.5,33.0
2026-01-31T00:00:00.000Z,0,38.0,36.5,30.5,27.5,26.5,27.0,29.5,33.5
2026-02-10T00:00:00.000Z,0,33.5,33.0,32.5,31.0,29.5,28.5,30.5,33.5
2026-02-20T00:00:00.000Z,0,19.5,25.0,28.0,28.0,28.0,28.0,30.0,33.0
2026-02-28T00:00:00.000Z,0,42.5,37.5,33.5,32.0,31.0,30.0,30.5,33.0
2026-03-10T00:00:00.000Z,0,45.0,43.0,40.5,38.0,36.5,33.5,33.0,34.5
2026-03-20T00:00:00.000Z,0,72.0,64.5,57.5,52.5,49.0,41.5,38.5,37.5
2026-04-10T00:00:00.000Z,0,48.0,51.5,54.0,54.5,53.0,47.0,44.0,41.0
2026-04-20T00:00:00.000Z,0,53.5,48.5,49.0,50.5,50.5,47.0,44.0,41.5
2026-04-30T00:00:00.000Z,0,68.5,59.5,56.0,55.0,53.5,49.5,46.0,43.0
