date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,47.0,52.0,56.0,57.5,58.0,59.5,60.0,60.5
2026-01-10T00:00:00.000Z,0,62.0,58.0,57.0,57.5,57.5,58.5,59.5,60.0
2026-01-20T00:00:00.000Z,0,40.5,47.0,50.5,52.0,53.5,56.0,57.5,59.0
2026-01-31T00:00:00.000Z,0,36.5,39.0,42.0,45.0,47.0,52.0,54.5,57.0
2026-02-10T00:00:00.000Z,0,66.0,51.5,48.0,47.5,48.0,51.5,53.5,56.0
2026-02-20T00:00:00.000Z,0,56.0,62.0,58.5,56.0,55.0,54.5,55.5,57.0
2026-02-28T00:00:00.000Z,0,50.0,50.5,52.0,52.0,52.5,53.0,54.0,56.0
2026-03-10T00:00:00.000Z,0,51.5,52.0,52.5,52.5,52.5,53.0,54.0,56.0
2026-03-20T00:00:00.000Z,0,63.5,60.5,58.5,56.5,56.0,54.5,55.0,56.5
2026-04-10T00:00:00.000Z,0,75.0,73.0,69.5,67.0,64.5,60.0,59.0,58.5
2026-04-20T00:00:00.000Z,0,63.0,69.0,69.5,68.0,66.5,62.5,60.5,59.5
2026-04-30T00:00:00.000Z,0,67.0,63.5,64.5,65.0,64.5,62.0,60.5,59.5
