date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,51.5,61.5,64.0,64.0,64.0,61.5,58.5,54.0
2026-01-10T00:00:00.000Z,0,57.5,55.0,57.0,59.0,59.5,59.5,57.5,53.5
2026-01-20T00:00:00.000Z,0,37.0,45.5,50.0,52.5,54.5,56.5,56.0,53.0
2026-01-31T00:00:00.000Z,0,33.5,35.5,39.5,43.0,46.0,51.5,52.5,51.0
2026-02-20T00:00:00.000Z,0,51.0,51.5,51.0,49.5,49.5,51.5,52.0,51.0
2026-02-28T00:00:00.000Z,0,55.0,50.5,49.5,49.5,49.5,51.0,51.5,51.0
2026-03-10T00:00:00.000Z,0,84.0,74.5,66.5,62.0,59.5,56.0,55.0,53.5
2026-03-20T00:00:00.000Z,0,87.0,84.5,79.5,74.5,70.5,63.0,60.0,57.0
2026-04-10T00:00:00.000Z,0,91.5,86.0,83.5,80.5,78.5,70.5,66.5,61.5
2026-04-20T00:00:00.000Z,0,96.0,95.5,91.5,88.0,85.0,76.0,70.5,64.5
2026-04-30T00:00:00.000Z,0,75.0,85.5,88.0,87.5,85.5,78.5,73.0,66.5
2026-02-10T00:00:00.000Z,0,60.0,51.5,48.0,47.5,48.0,51.0,52.0,51.0
