date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,68.5,71.0,72.5,72.0,71.0,69.0,68.5,68.0
2026-01-31T00:00:00.000Z,0,53.0,58.0,62.0,64.5,66.0,67.5,67.5,67.5
2026-02-10T00:00:00.000Z,0,66.5,59.5,60.0,61.5,62.5,65.0,66.0,66.5
2026-02-20T00:00:00.000Z,0,78.5,77.0,72.0,69.5,69.0,68.0,68.0,68.0
2026-01-10T00:00:00.000Z,0,79.5,75.5,74.0,73.5,72.5,70.0,69.0,68.5
2026-01-20T00:00:00.000Z,0,64.0,69.5,71.5,72.0,72.0,70.5,69.5,68.5
2026-03-10T00:00:00.000Z,0,64.0,69.0,71.0,71.0,70.5,69.5,69.0,68.5
2026-03-20T00:00:00.000Z,0,83.0,75.5,73.5,72.5,72.0,70.5,70.0,69.0
2026-04-10T00:00:00.000Z,0,91.0,89.0,87.0,85.0,82.5,78.0,75.0,72.5
2026-04-20T00:00:00.000Z,0,88.0,90.0,89.5,87.5,86.0,80.5,77.5,74.5
2026-04-30T00:00:00.000Z,0,81.0,84.5,86.0,86.0,85.5,81.5,78.5,75.0
2026-02-28T00:00:00.000Z,0,79.5,77.0,74.5,72.5,71.5,69.5,69.0,68.5
