date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,49.5,51.0,54.0,56.0,57.5,62.5,66.5,69.5
2026-01-10T00:00:00.000Z,0,57.0,54.0,53.5,54.5,56.0,60.5,64.0,68.0
2026-01-20T00:00:00.000Z,0,43.0,47.0,49.5,51.0,52.5,58.0,61.5,66.0
2026-01-31T00:00:00.000Z,0,40.0,41.0,43.5,45.5,47.5,53.5,58.5,64.0
2026-02-10T00:00:00.000Z,0,39.5,39.0,40.5,42.0,44.0,50.5,55.0,61.0
2026-02-20T00:00:00.000Z,0,44.0,42.0,41.5,42.0,43.5,48.5,53.0,59.5
2026-02-28T00:00:00.000Z,0,37.5,40.0,41.0,41.5,42.5,47.0,51.5,58.0
2026-03-10T00:00:00.000Z,0,37.5,37.5,38.5,39.0,40.0,45.0,49.5,56.0
2026-03-20T00:00:00.000Z,0,52.0,46.0,43.5,42.5,42.5,45.0,48.5,55.0
2026-04-10T00:00:00.000Z,0,66.0,67.5,64.5,61.0,58.0,53.5,54.0,57.0
2026-04-20T00:00:00.000Z,0,70.0,71.0,69.0,66.0,63.5,57.5,56.5,58.5
2026-04-30T00:00:00.000Z,0,60.5,61.5,63.5,63.5,62.5,58.5,57.0,59.0
