date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2026-01-31T00:00:00.000Z,0,68.0,62.5,56.5,54.5,54.0,55.0,54.5,53.5
2025-12-31T00:00:00.000Z,0,53.5,53.5,56.0,57.5,58.5,59.0,58.0,54.5
2026-01-10T00:00:00.000Z,0,44.0,51.0,53.5,55.0,56.0,57.5,57.0,54.5
2026-03-10T00:00:00.000Z,0,79.0,80.0,76.0,72.5,69.5,64.5,62.0,59.0
2026-03-20T00:00:00.000Z,0,64.0,67.5,70.5,70.0,69.0,65.5,63.5,60.0
2026-04-10T00:00:00.000Z,0,83.5,81.5,79.0,77.0,75.5,70.5,67.5,64.0
2026-04-20T00:00:00.000Z,0,73.0,78.0,78.5,78.0,77.0,72.5,69.5,65.5
2026-01-20T00:00:00.000Z,0,46.5,40.5,43.0,46.0,48.0,52.0,53.0,52.0
2026-02-10T00:00:00.000Z,0,52.5,58.0,58.5,57.0,56.5,56.0,55.5,54.5
2026-04-30T00:00:00.000Z,0,42.0,55.0,63.5,67.0,68.5,69.0,67.5,64.5
2026-02-20T00:00:00.000Z,0,67.0,62.0,60.0,59.0,58.0,57.0,56.5,55.0
2026-02-28T00:00:00.000Z,0,77.5,69.5,65.5,63.5,62.0,59.5,58.5,56.5
