date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,72.0,72.0,70.0,67.5,65.5,61.5,58.5,56.5
2026-01-10T00:00:00.000Z,0,72.0,70.0,69.5,68.5,67.0,63.0,61.0,58.0
2026-01-20T00:00:00.000Z,0,69.0,71.0,71.0,70.0,69.0,65.5,63.0,60.0
2026-01-31T00:00:00.000Z,0,64.5,65.0,66.0,67.0,67.0,65.0,63.0,60.5
2026-02-10T00:00:00.000Z,0,64.5,65.0,65.5,66.0,66.0,65.0,64.0,61.0
2026-02-20T00:00:00.000Z,0,73.0,70.0,68.5,68.0,67.5,66.0,65.0,62.0
2026-02-28T00:00:00.000Z,0,71.5,72.5,71.0,70.0,69.5,68.0,66.0,63.5
2026-03-10T00:00:00.000Z,0,77.5,76.0,75.0,73.5,72.5,69.5,67.5,65.0
2026-03-20T00:00:00.000Z,0,79.0,78.5,77.5,76.5,75.0,72.0,70.0,66.5
2026-04-10T00:00:00.000Z,0,64.5,66.5,69.0,70.5,71.0,71.0,69.5,67.0
2026-04-20T00:00:00.000Z,0,78.0,75.0,73.0,73.0,72.5,71.5,70.5,68.0
2026-04-30T00:00:00.000Z,0,54.5,62.0,66.0,67.5,68.5,69.5,69.5,67.5
