date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2026-01-31T00:00:00.000Z,0,34.5,37.0,40.5,43.5,46.0,52.0,55.5,58.5
2026-01-10T00:00:00.000Z,0,59.0,55.0,54.5,56.0,57.5,60.0,61.5,63.0
2026-01-20T00:00:00.000Z,0,39.5,44.5,48.0,50.5,52.0,56.5,59.0,61.0
2026-03-10T00:00:00.000Z,0,64.0,63.0,61.0,59.5,58.5,56.5,57.5,59.0
2026-03-20T00:00:00.000Z,0,77.5,74.5,70.5,67.5,65.5,61.0,60.0,60.5
2026-04-20T00:00:00.000Z,0,77.0,82.5,82.5,81.0,79.0,72.5,69.0,66.0
2026-04-30T00:00:00.000Z,0,73.0,73.5,75.5,76.5,76.0,72.5,69.5,66.5
2025-12-31T00:00:00.000Z,0,43.5,49.0,54.5,57.5,59.0,62.0,62.5,63.5
2026-02-10T00:00:00.000Z,0,62.5,51.5,47.0,46.5,47.5,51.5,54.5,57.5
2026-02-20T00:00:00.000Z,0,63.5,65.0,60.0,57.0,55.5,55.0,56.5,59.0
2026-02-28T00:00:00.000Z,0,58.5,58.0,57.5,56.0,55.5,55.5,56.5,58.0
2026-04-10T00:00:00.000Z,0,88.0,85.0,81.5,78.5,75.5,69.0,66.0,64.0
