date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,59.5,62.0,62.0,61.0,59.5,55.0,53.0,51.0
2026-01-10T00:00:00.000Z,0,70.0,67.0,65.0,63.5,62.0,58.0,55.0,52.5
2026-01-20T00:00:00.000Z,0,76.0,73.5,71.0,68.5,67.0,61.5,58.5,55.0
2026-01-31T00:00:00.000Z,0,79.0,76.5,74.5,72.5,70.5,65.0,61.5,57.5
2026-02-10T00:00:00.000Z,0,74.5,77.0,76.5,75.0,73.5,67.5,63.5,59.5
2026-02-20T00:00:00.000Z,0,68.0,69.0,71.0,72.0,71.5,68.0,64.5,60.0
2026-02-28T00:00:00.000Z,0,78.0,74.5,73.0,73.0,72.5,69.0,66.0,61.0
2026-03-10T00:00:00.000Z,0,81.0,82.0,80.0,78.5,77.0,72.5,68.5,63.5
2026-03-20T00:00:00.000Z,0,70.5,72.5,74.5,75.0,75.0,72.5,69.5,64.5
2026-04-10T00:00:00.000Z,0,77.0,75.5,75.0,75.0,75.0,73.0,71.0,66.5
2026-04-20T00:00:00.000Z,0,78.5,81.0,79.0,78.5,77.5,75.0,72.5,68.0
2026-04-30T00:00:00.000Z,0,56.0,64.0,69.0,71.0,72.0,72.5,71.0,68.0
