date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,48.0,53.5,58.0,59.5,60.0,60.5,60.5,61.5
2026-01-31T00:00:00.000Z,0,46.0,38.5,38.0,39.5,42.0,47.5,51.0,55.0
2026-02-10T00:00:00.000Z,0,49.0,48.0,45.0,44.0,44.5,48.0,50.5,54.5
2026-02-20T00:00:00.000Z,0,70.0,64.0,58.0,54.0,52.0,51.5,52.5,55.0
2026-02-28T00:00:00.000Z,0,87.0,78.0,70.5,65.0,62.0,56.5,56.0,57.0
2026-03-10T00:00:00.000Z,0,87.5,86.5,81.0,76.0,71.5,63.0,60.5,60.0
2026-03-20T00:00:00.000Z,0,85.0,85.0,83.5,80.5,77.5,68.5,64.5,62.5
2026-04-10T00:00:00.000Z,0,98.0,97.0,94.5,91.5,88.5,78.5,73.0,68.0
2026-04-20T00:00:00.000Z,0,94.5,95.5,95.0,93.5,91.5,82.5,76.5,70.5
2026-04-30T00:00:00.000Z,0,80.5,85.5,88.5,89.5,89.0,83.5,78.0,72.5
2026-01-10T00:00:00.000Z,0,38.5,43.0,48.0,51.5,53.5,56.5,57.5,59.5
2026-01-20T00:00:00.000Z,0,35.0,33.5,37.5,41.0,44.5,50.5,53.5,56.5
