date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2026-01-20T00:00:00.000Z,0,65.5,60.5,59.0,59.5,61.0,64.0,66.0,66.5
2026-01-31T00:00:00.000Z,0,71.0,68.0,65.5,64.5,64.0,65.5,66.0,66.5
2026-02-10T00:00:00.000Z,0,79.0,75.5,72.5,70.0,68.5,67.5,68.0,67.5
2026-02-20T00:00:00.000Z,0,84.0,84.0,80.0,77.0,75.0,71.0,70.0,69.0
2026-02-28T00:00:00.000Z,0,91.5,87.5,84.5,81.5,79.0,74.5,72.5,70.5
2026-03-10T00:00:00.000Z,0,90.0,90.0,88.0,86.0,83.5,78.0,75.0,72.5
2026-03-20T00:00:00.000Z,0,90.0,89.5,89.0,87.5,86.0,80.5,77.5,74.0
2026-04-10T00:00:00.000Z,0,96.0,97.0,96.0,94.0,92.5,86.5,82.5,78.0
2026-04-20T00:00:00.000Z,0,98.0,97.5,96.5,95.5,94.5,88.5,84.5,79.5
2026-04-30T00:00:00.000Z,0,88.0,91.0,93.0,93.5,93.0,89.5,86.0,81.0
2025-12-31T00:00:00.000Z,0,55.5,59.5,63.5,65.5,66.5,69.0,69.5,68.5
2026-01-10T00:00:00.000Z,0,54.5,56.0,58.5,60.5,62.5,66.0,67.5,67.0
