date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,35.5,41.5,43.0,42.5,41.5,37.5,35.0,34.0
2026-01-10T00:00:00.000Z,0,49.0,45.5,44.0,43.5,42.5,39.0,36.0,34.5
2026-01-20T00:00:00.000Z,0,45.0,46.0,45.0,44.5,44.0,40.5,37.5,36.0
2026-01-31T00:00:00.000Z,0,57.0,56.0,53.0,51.0,49.0,44.0,41.0,38.0
2026-02-10T00:00:00.000Z,0,85.0,77.0,69.0,64.0,60.5,51.5,46.5,42.0
2026-02-20T00:00:00.000Z,0,71.5,75.5,73.5,69.5,66.0,56.5,51.0,45.0
2026-02-28T00:00:00.000Z,0,79.5,74.5,73.5,71.0,69.0,60.0,54.0,47.5
2026-03-10T00:00:00.000Z,0,87.5,85.5,81.5,78.5,75.5,66.0,59.0,51.0
2026-03-20T00:00:00.000Z,0,79.0,81.5,81.5,80.0,78.0,69.5,62.5,54.5
2026-04-10T00:00:00.000Z,0,89.0,84.5,82.5,81.5,80.0,74.0,67.5,59.0
2026-04-20T00:00:00.000Z,0,96.0,94.5,90.5,88.0,86.0,78.0,71.5,62.0
2026-04-30T00:00:00.000Z,0,71.0,81.5,84.5,85.0,84.5,79.5,73.5,64.0
